department_descr,upc_descr,n,
DAIRY,RC CHS/CLERK SERVED/AMERICAN,33607,
DAIRY,RC CHS/CLERK SERVED/BLUE CHS,1140,
DAIRY,RC CHS/CLERK SERVED/BRIE,1228,
DAIRY,RC CHS/CLERK SERVED/CHEDDAR,9116,
DAIRY,RC CHS/CLERK SERVED/GOUDA,2385,
DAIRY,RC CHS/CLERK SERVED/JACK,5252,
DAIRY,RC CHS/CLERK SERVED/MOZZARELLA,3039,
DAIRY,RC CHS/CLERK SERVED/MUENSTER,5709,
DAIRY,RC CHS/CLERK SERVED/OTHER,18822,
DAIRY,RC CHS/CLERK SERVED/PARMESAN,1436,
DAIRY,RC CHS/CLERK SERVED/PROVOLONE,11805,
DAIRY,RC CHS/CLERK SERVED/ROMANO,978,
DAIRY,RC CHS/CLERK SERVED/SWISS,21293,
DAIRY,RC CHS/SELF SERVED/AMERICAN,4504,
DAIRY,RC CHS/SELF SERVED/BLUE CHS,1939,
DAIRY,RC CHS/SELF SERVED/BRIE,1997,
DAIRY,RC CHS/SELF SERVED/CHEDDAR,8832,
DAIRY,RC CHS/SELF SERVED/GOUDA,2760,
DAIRY,RC CHS/SELF SERVED/JACK,2537,
DAIRY,RC CHS/SELF SERVED/MOZZARELLA,2626,
DAIRY,RC CHS/SELF SERVED/MUENSTER,1260,
DAIRY,RC CHS/SELF SERVED/OTHER,18790,
DAIRY,RC CHS/SELF SERVED/PARMESAN,3660,
DAIRY,RC CHS/SELF SERVED/PROVOLONE,2030,
DAIRY,RC CHS/SELF SERVED/ROMANO,1515,
DAIRY,RC CHS/SELF SERVED/SWISS,4909,
DELI,RC PREPARED FOODS/CHICKEN,79640,
DELI,RC PREPARED FOODS/HOT DOG SGL,8132,
DELI,RC PREPARED FOODS/OTHER,188583,
DELI,RC PREPARED FOODS/PIZZA,23608,
DELI,RC PREPARED FOODS/SALAD,73941,
DELI,RC PREPARED FOODS/SANDWICH,83781,
DELI,RC TAKE OUT/HOME DELIVERY,24045,
DELI,RC TAKE OUT/PICK UP/EAT IN,665204,
DRY GROCERY,RC BKD GDS BAGELS,30746,
DRY GROCERY,RC BKD GDS BREADS,99704,
DRY GROCERY,RC BKD GDS BROWNIE,5572,
DRY GROCERY,RC BKD GDS CKS/DCRTD/SPCL OCSN,8891,
DRY GROCERY,RC BKD GDS CKS/NON DCRTD/OTHER,20294,
DRY GROCERY,RC BKD GDS COOKIES/AST,3188,
DRY GROCERY,RC BKD GDS COOKIES/CH CHIP,13139,
DRY GROCERY,RC BKD GDS COOKIES/OM RSN,4102,
DRY GROCERY,RC BKD GDS COOKIES/OTHER,15601,
DRY GROCERY,RC BKD GDS COOKIES/SUGAR,3692,
DRY GROCERY,RC BKD GDS CROISSANTS,8866,
DRY GROCERY,RC BKD GDS CUPCAKES,8946,
DRY GROCERY,RC BKD GDS DANISH,13495,
DRY GROCERY,RC BKD GDS DONUTS/CRULLERS,58317,
DRY GROCERY,RC BKD GDS HOLIDAY/SEASONAL,2813,
DRY GROCERY,RC BKD GDS MUFFINS,27524,
DRY GROCERY,RC BKD GDS OTHER,24577,
DRY GROCERY,RC BKD GDS PASTRY,21844,
DRY GROCERY,RC BKD GDS PIES/CREAM,2090,
DRY GROCERY,RC BKD GDS PIES/FRUIT,11682,
DRY GROCERY,RC BKD GDS PIES/OTHER,3867,
DRY GROCERY,RC BKD GDS PIES/PUMPKIN,2941,
DRY GROCERY,RC BKD GDS ROLLS,59157,
DRY GROCERY,RC BKD GDS SPECIALTY DESSERTS,15558,
DRY GROCERY,RC CANDY/NUTS/SEEDS,113945,
DRY GROCERY,RC COFFEE/CUP OF COFFEE,98880,
DRY GROCERY,RC COFFEE/GROUND/WHOLE/BEAN,9784,
DRY GROCERY,RC FNTN BVG/SLF SRV/FRZN DRNK,28295,
DRY GROCERY,RC FNTN BVG/SLF SRV/SOFT DRNK,94437,
FRESH PRODUCE,RC FRUITS/APPLE,199754,FRESH APPLES
FRESH PRODUCE,RC FRUITS/AVOCADO,101700,
FRESH PRODUCE,RC FRUITS/BANANA,536043,
FRESH PRODUCE,RC FRUITS/BERRIES,49372,
FRESH PRODUCE,RC FRUITS/CHERRY,33269,
FRESH PRODUCE,RC FRUITS/GRAPE,127788,
FRESH PRODUCE,RC FRUITS/GRAPEFRUIT,20725,FRESH GRAPEFRUIT
FRESH PRODUCE,RC FRUITS/MELON,98512,
FRESH PRODUCE,RC FRUITS/ORANGE,59499,FRESH ORANGES
FRESH PRODUCE,RC FRUITS/OTHER,92307,
FRESH PRODUCE,RC FRUITS/OTHER CITRUS,74878,
FRESH PRODUCE,RC FRUITS/PEACH/NECTARINES/PLM,87786,
FRESH PRODUCE,RC FRUITS/PEAR,53531,
FRESH PRODUCE,RC FRUITS/PINEAPPLE,26962,
FRESH PRODUCE,RC FRUITS/PREPARED FRESH FRUIT,18148,
FRESH PRODUCE,RC VEG/BEANS GREEN/STRING,28304,
FRESH PRODUCE,RC VEG/BROCCOLI,71588,
FRESH PRODUCE,RC VEG/CABBAGE,44903,
FRESH PRODUCE,RC VEG/CARROT,32889,
FRESH PRODUCE,RC VEG/CAULIFLOWER,18323,
FRESH PRODUCE,RC VEG/CELERY,46404,
FRESH PRODUCE,RC VEG/COOKING GREENS,18380,
FRESH PRODUCE,RC VEG/CORN,56273,
FRESH PRODUCE,RC VEG/CUCUMBER,131640,
FRESH PRODUCE,RC VEG/EGGPLANT,12794,
FRESH PRODUCE,RC VEG/LETTUCE,101678,
FRESH PRODUCE,RC VEG/MUSHROOM,27318,
FRESH PRODUCE,RC VEG/ONION,208716,
FRESH PRODUCE,RC VEG/OTHER,197659,
FRESH PRODUCE,RC VEG/PEAS,8794,
FRESH PRODUCE,RC VEG/PEPPER,164439,
FRESH PRODUCE,RC VEG/POTATO,113024,
FRESH PRODUCE,RC VEG/PREPARED FRESH VEG,11705,
FRESH PRODUCE,RC VEG/RADISHES,18525,
FRESH PRODUCE,RC VEG/SPINACH,10938,
FRESH PRODUCE,RC VEG/SPROUTS,5682,
FRESH PRODUCE,RC VEG/SQUASH/PUMPKIN,47419,
FRESH PRODUCE,RC VEG/TOMATO,218366,
FRESH PRODUCE,RC VEG/ZUCCHINI,32687,
FROZEN FOODS,RC MEAT BEEF/CUBED,36971,
FROZEN FOODS,RC MEAT BEEF/GROUND,223149,
FROZEN FOODS,RC MEAT BEEF/OTHER,67142,
FROZEN FOODS,RC MEAT BEEF/ROAST,56879,
FROZEN FOODS,RC MEAT BEEF/STEAK,158639,
FROZEN FOODS,RC MEAT HOT DOG,6991,
FROZEN FOODS,RC MEAT LAMB,10771,
FROZEN FOODS,RC MEAT OTHER MEAT,14254,
FROZEN FOODS,RC MEAT PORK/CHOPS,104797,
FROZEN FOODS,RC MEAT PORK/HAM,42493,
FROZEN FOODS,RC MEAT PORK/OTHER,80115,
FROZEN FOODS,RC MEAT PORK/RIBS,45521,
FROZEN FOODS,RC MEAT PORK/ROAST,32878,
FROZEN FOODS,RC MEAT SAUSAGE,26333,
FROZEN FOODS,RC MEAT VEAL,3070,
FROZEN FOODS,RC POULTRY CHICKEN/BREAST,157447,
FROZEN FOODS,RC POULTRY CHICKEN/CUT UP/MXD,10997,
FROZEN FOODS,RC POULTRY CHICKEN/GROUND,3744,
FROZEN FOODS,RC POULTRY CHICKEN/LEG/DRMSTKS,36682,
FROZEN FOODS,RC POULTRY CHICKEN/OTHER,34263,
FROZEN FOODS,RC POULTRY CHICKEN/THIGHS,46921,
FROZEN FOODS,RC POULTRY CHICKEN/WHOLE,35759,
FROZEN FOODS,RC POULTRY CHICKEN/WING,19589,
FROZEN FOODS,RC POULTRY TURKEY/BREAST,12423,
FROZEN FOODS,RC POULTRY TURKEY/GROUND,12829,
FROZEN FOODS,RC POULTRY TURKEY/OTHER,15249,
FROZEN FOODS,RC POULTRY TURKEY/WHOLE,12818,
FROZEN FOODS,RC SEAFOOD FISH/CATFISH,5286,
FROZEN FOODS,RC SEAFOOD FISH/COD/SCROD,8228,
FROZEN FOODS,RC SEAFOOD FISH/OTHER,21993,
FROZEN FOODS,RC SEAFOOD FISH/SALMON,27360,
FROZEN FOODS,RC SEAFOOD FISH/TILAPIA,8393,
FROZEN FOODS,RC SEAFOOD FISH/TUNA,2930,
FROZEN FOODS,RC SEAFOOD SHELLFISH/CRAB,6460,
FROZEN FOODS,RC SEAFOOD SHELLFISH/OTHER,6115,
FROZEN FOODS,RC SEAFOOD SHELLFISH/SCALLOPS,2487,
FROZEN FOODS,RC SEAFOOD SHELLFISH/SHRIMP,14436,
GENERAL MERCHANDISE,RC APPAREL,237196,
GENERAL MERCHANDISE,RC DVD/BLUERAY/VIDEO GAME RNTL,17231,
GENERAL MERCHANDISE,RC FLORAL,53884,
GENERAL MERCHANDISE,RC GAS/GAS ONLY TRIP,689529,
GENERAL MERCHANDISE,RC GAS/GAS WITH PURCHASE,63851,
GENERAL MERCHANDISE,RC PHOTOS/ORDERED ONLINE,7017,
GENERAL MERCHANDISE,RC PHOTOS/RETAILER PRINTED,4478,
GENERAL MERCHANDISE,RC PHOTOS/S-S RETAILER KIOSK,3810,
HEALTH & BEAUTY CARE,RC RX DROPPED OFF/PICKED UP,331071,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/BEEF,26405,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/BLNA,21707,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/CHKN,19649,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/HAM,80970,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/OCC,22294,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/PPRI,5148,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/SLMI,21915,
PACKAGED MEAT,RC COLD CUTS/CLERK SERVED/TRKY,64594,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/BEEF,4389,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/BLNA,2373,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/CHKN,5692,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/HAM,7679,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/OCC,6050,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/PPRI,1573,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/SLMI,2590,
PACKAGED MEAT,RC COLD CUTS/SELF SERVED/TRKY,7072,
